"ID","sex","morph","included"
"ACGN","f","female",TRUE
"ACIU","f","female",TRUE
"AGNG","f","female",TRUE
"AIZJ","f","female",TRUE
"AKPI","m","tenth",TRUE
"AQZC","m","eighth",TRUE
"ASOK","f","female",TRUE
"ATEZ","f","female",TRUE
"AZJJ","f","female",TRUE
"BBRM","m","ninth",TRUE
"BCSB","f","female",TRUE
"BLLA","m","ninth",TRUE
"BYLH","f","female",TRUE
"BZCS","m","ninth",TRUE
"CAPF","m","tenth",TRUE
"CAXC","m","eighth",TRUE
"CBMA","f","female",TRUE
"CBRE","m","eighth",TRUE
"CCQV","f","female",TRUE
"CGRD","m","eighth",TRUE
"CHCF","f","female",TRUE
"CPWC","f","female",TRUE
"CTFK","m","tenth",TRUE
"CVHB","f","female",TRUE
"CVLU","m","eighth",TRUE
"CVQJ","f","female",TRUE
"CWPJ","m","ninth",TRUE
"CWRT","m","eighth",TRUE
"DESX","f","female",TRUE
"DFDF","m","ninth",TRUE
"DFME","m","eighth",TRUE
"DJFZ","m","tenth",TRUE
"DNHH","m","tenth",TRUE
"DOCI","m","ninth",TRUE
"DQAS","m","eighth",TRUE
"DQAV","m","eighth",TRUE
"DSPJ","m","eighth",TRUE
"DUFU","m","ninth",TRUE
"DYFV","m","tenth",TRUE
"EAXA","m","ninth",TRUE
"EAXN","m","eighth",TRUE
"ECHF","m","ninth",TRUE
"ECJN","m","tenth",TRUE
"ECOO","m","ninth",TRUE
"EDIK","m","eighth",TRUE
"EFLR","m","ninth",TRUE
"EJSA","m","ninth",TRUE
"EMIY","f","female",TRUE
"EMMR","m","tenth",TRUE
"EWKB","m","ninth",TRUE
"EXFC","m","eighth",TRUE
"FDUO","f","female",TRUE
"FFVD","f","female",TRUE
"FHEO","f","female",TRUE
"FJIV","m","ninth",TRUE
"FKWM","m","eighth",TRUE
"FLUS","f","female",TRUE
"FRAY","f","female",TRUE
"FRKH","f","female",TRUE
"FXZS","m","ninth",TRUE
"FYEF","f","female",TRUE
"FZRV","f","female",TRUE
"GDWH","m","tenth",TRUE
"GLXO","f","female",TRUE
"GMLX","m","eighth",TRUE
"GRAC","m","ninth",TRUE
"GRRD","f","female",TRUE
"GVKA","m","eighth",TRUE
"GWYL","m","eighth",TRUE
"GXQD","m","ninth",TRUE
"GYFU","f","female",TRUE
"HDAF","m","tenth",TRUE
"HDAI","f","female",TRUE
"HDZC","m","tenth",TRUE
"HEDP","m","eighth",TRUE
"HIHW","m","eighth",TRUE
"HKWK","m","eighth",TRUE
"HNNH","f","female",TRUE
"HNUV","m","eighth",TRUE
"HOHH","m","ninth",TRUE
"HRBI","m","eighth",TRUE
"HTCT","m","ninth",TRUE
"HZFK","m","eighth",TRUE
"IEAL","f","female",TRUE
"IEJY","m","eighth",TRUE
"IEPT","m","tenth",TRUE
"IJNE","m","ninth",TRUE
"ILNB","m","tenth",TRUE
"INPV","f","female",TRUE
"IULK","m","ninth",TRUE
"IVIQ","f","female",TRUE
"IVMB","m","ninth",TRUE
"JDGM","f","female",TRUE
"JDYH","m","ninth",TRUE
"JHFO","f","female",TRUE
"JONV","m","ninth",TRUE
"JOYH","m","tenth",TRUE
"JOZD","m","eighth",TRUE
"JPJS","f","female",TRUE
"JPJT","f","female",TRUE
"JRYP","m","eighth",TRUE
"JUCL","m","ninth",TRUE
"JUGA","f","female",TRUE
"JUJH","m","ninth",TRUE
"JUYN","f","female",TRUE
"JXVQ","m","tenth",TRUE
"JZEI","m","ninth",TRUE
"JZJE","f","female",TRUE
"KAIL","m","ninth",TRUE
"KAOK","f","female",TRUE
"KDQD","f","female",TRUE
"KECL","f","female",TRUE
"KEHR","f","female",TRUE
"KEMO","m","tenth",TRUE
"KIIU","m","tenth",TRUE
"KORY","m","eighth",TRUE
"KPNC","f","female",TRUE
"KSLC","f","female",TRUE
"KTFS","m","ninth",TRUE
"KTNC","f","female",TRUE
"KVWU","f","female",TRUE
"KWNJ","f","female",TRUE
"KYRB","m","ninth",TRUE
"LAZJ","m","ninth",TRUE
"LEZS","m","eighth",TRUE
"LGMD","f","female",TRUE
"LHWT","m","tenth",TRUE
"LIHW","f","female",TRUE
"LJJN","m","tenth",TRUE
"LKHO","m","eighth",TRUE
"LLJC","m","tenth",TRUE
"LMMX","f","female",TRUE
"LNMX","f","female",TRUE
"LQLO","f","female",TRUE
"LRRL","m","tenth",TRUE
"LRSS","m","ninth",TRUE
"LTEN","f","female",TRUE
"LUXM","f","female",TRUE
"LYTH","f","female",TRUE
"MAKB","m","tenth",TRUE
"MEAE","f","female",TRUE
"MEMQ","m","eighth",TRUE
"MJSX","m","eighth",TRUE
"MKMF","m","ninth",TRUE
"MLES","f","female",TRUE
"MONY","m","eighth",TRUE
"MQFA","f","female",TRUE
"MTZI","f","female",TRUE
"MUVY","m","tenth",TRUE
"MVOV","m","eighth",TRUE
"MXAY","f","female",TRUE
"MYTW","f","female",TRUE
"NACP","m","ninth",TRUE
"NAPZ","m","ninth",TRUE
"NBFT","m","ninth",TRUE
"NDWV","m","ninth",TRUE
"NFQJ","f","female",TRUE
"NFZB","f","female",TRUE
"NLMH","f","female",TRUE
"NMCP","m","ninth",TRUE
"NRDG","m","eighth",TRUE
"NRVV","m","eighth",TRUE
"NSFR","m","ninth",TRUE
"NUDB","f","female",TRUE
"NVHP","m","eighth",TRUE
"OCGB","f","female",TRUE
"ODLJ","m","eighth",TRUE
"OHRS","f","female",TRUE
"OHZZ","m","eighth",TRUE
"OLFY","f","female",TRUE
"ONAU","f","female",TRUE
"OQDA","m","ninth",TRUE
"OTIL","f","female",TRUE
"OVOZ","f","female",TRUE
"OWAU","m","ninth",TRUE
"OZHE","f","female",TRUE
"PAQJ","m","ninth",TRUE
"PBXK","m","eighth",TRUE
"PFPR","m","eighth",TRUE
"PIKP","m","tenth",TRUE
"PMTK","m","eighth",TRUE
"PQXQ","f","female",TRUE
"PTRO","f","female",TRUE
"PVUO","m","ninth",TRUE
"PVXU","f","female",TRUE
"PWML","m","eighth",TRUE
"PXBQ","m","eighth",TRUE
"PXBW","m","eighth",TRUE
"PZFT","m","ninth",TRUE
"PZMO","m","eighth",TRUE
"PZWX","m","eighth",TRUE
"QDVU","f","female",TRUE
"QDXY","m","ninth",TRUE
"QIIV","m","eighth",TRUE
"QMKN","f","female",TRUE
"QOGZ","f","female",TRUE
"QQJU","m","ninth",TRUE
"QRKY","f","female",TRUE
"QSRM","m","ninth",TRUE
"QUAR","m","eighth",FALSE
"QXSG","f","female",TRUE
"QYFB","f","female",TRUE
"QZHA","m","eighth",TRUE
"RBAX","m","ninth",TRUE
"RBFY","f","female",TRUE
"RCMK","m","eighth",TRUE
"RDRL","m","eighth",TRUE
"RIJE","f","female",TRUE
"RIWP","m","ninth",TRUE
"RJGO","f","female",TRUE
"RJVU","f","female",TRUE
"RMQE","f","female",TRUE
"RNCJ","f","female",TRUE
"RNFD","f","female",TRUE
"RPNA","m","eighth",TRUE
"RQME","m","ninth",TRUE
"RSFE","m","tenth",TRUE
"RTXD","m","eighth",TRUE
"RWGW","m","eighth",TRUE
"SBJV","m","tenth",TRUE
