Label,femur_left,tibia_left,ear_left,femur_right,tibia_right,ear_right
ACGN,13.15,13.34,3.52,13.713999999999999,14.2,3.621
ACIU,12.161,12.496,2.745,12.151,12.527,3.045
AGNG,12.225,12.613999999999999,2.689,12.167,12.591,2.9339999999999997
AIZJ,12.119,12.753,3.058,12.406,13.051,3.583
AKPI,13.863000000000001,14.159,2.714,12.877,13.876000000000001,3.064
AQZC,11.745,12.215,2.281,12.001,12.468,2.648
ASOK,12.169,12.996,2.566,12.3,13.143999999999998,3.162
ATEZ,12.07,12.821,2.753,12.019,12.730999999999998,3.063
AZJJ,11.261,12.455000000000002,2.7119999999999997,11.016,12.292,2.698
BBRM,12.366000000000001,12.966000000000001,2.705,12.289,12.735,3.125
BCSB,11.93,12.763,2.8739999999999997,12.04,12.777999999999999,3.1870000000000003
BLLA,12.573,12.695,3.118,12.899000000000001,13.126,3.262
BYLH,12.856000000000002,13.384,3.4759999999999995,12.821,13.09,3.4109999999999996
BZCS,12.312000000000001,12.835,2.4749999999999996,11.925,12.633999999999999,2.847
CAPF,14.107,14.575000000000001,3.108,13.955000000000002,14.595,3.584
CAXC,11.853000000000002,12.296,2.62,11.742999999999999,12.247999999999998,2.774
CBMA,11.877,12.855000000000002,3.384,11.853000000000002,12.761,3.4749999999999996
CBRE,11.107,11.579,2.5519999999999996,11.205,11.574,2.6119999999999997
CCQV,12.461,14.03,3.05,12.613,13.44,3.266
CGRD,11.495000000000001,11.894,2.565,11.439,11.741999999999999,2.4699999999999998
CHCF,12.835,13.063,2.9749999999999996,12.001,12.543,2.8539999999999996
CPWC,11.307,11.802000000000001,2.5709999999999997,10.916,12.455000000000002,2.8569999999999998
CTFK,14.314,14.55,3.589,14.315000000000001,14.758,3.67
CVHB,11.693,12.431,2.587,NA,NA,NA
CVQJ,11.758,11.925,2.6759999999999997,11.293,11.852000000000002,2.953
CWPJ,14.005,14.053,3.4519999999999995,13.8,13.921,3.4819999999999998
CWRT,10.450000000000001,10.845,2.246,10.158,11.26,2.3859999999999997
DESX,12.932,13.49,3.195,12.883000000000001,13.697999999999999,3.5389999999999997
DFDF,12.565000000000001,12.929,2.53,12.782,13.219999999999999,2.8509999999999995
DFME,11.088,12.133999999999999,2.9759999999999995,10.965000000000002,11.946,2.689
DJFZ,15.157,14.827,3.629,14.841,14.998,3.8979999999999997
DNHH,13.499,14.545,3.5959999999999996,13.399000000000001,NA,NA
DOCI,12.471,13.104,2.927,12.329,13.026,3.228
DQAS,11.422,12.037999999999998,2.447,11.137999999999998,11.815000000000001,2.597
DQAV,11.189,12.067,2.2830000000000004,11.296999999999999,12.139999999999999,2.9779999999999998
DUFU,12.640999999999998,13.387,2.917,12.757,13.423,3.253
DYFV,13.683,15.235999999999999,3.8719999999999994,13.975000000000001,15.006,4.26
EAXA,13.416,13.722999999999999,3.126,13.433,13.84,3.2230000000000003
EAXN,11.303,11.863000000000001,2.3749999999999996,11.179,11.806000000000001,2.75
ECHF,13.006,13.353000000000002,2.989,13.009,13.436,3.421
ECJN,13.102,NA,3.276,13.437999999999999,13.561,3.3529999999999998
ECOO,12.722,13.689,2.9709999999999996,12.685,13.359000000000002,2.828
EDIK,11.199,11.589,2.4989999999999997,11.17,11.779,2.64
EFLR,12.196,12.854000000000001,2.848,12.03,13.216,3.0159999999999996
EJSA,12.243999999999998,12.952000000000002,3.0109999999999997,12.183,13.045,3.233
EMIY,12.643999999999998,13.15,3.294,12.467,13.318,3.634
EMMR,14.1,14.836,3.384,14.306000000000001,15.358,3.691
EWKB,11.542,11.965000000000002,2.274,11.327,11.895000000000001,2.467
EXFC,10.126,10.838,2.191,9.969000000000001,10.803,2.3569999999999998
FDUO,13.656,14.079,2.969,13.452000000000002,14.254,3.725
FFVD,12.209,13.165000000000001,2.5159999999999996,12.086,12.793999999999999,3.0349999999999997
FHEO,12.729999999999999,13.56,3.457,12.616999999999999,13.585,3.3249999999999997
FJIV,12.520999999999999,13.027,2.984,12.323,12.836,2.4819999999999998
FKWM,11.757,12.383000000000001,2.9099999999999997,11.595,12.346,3.108
FLUS,13.069,13.850000000000001,3.257,12.693,13.359000000000002,3.608
FRAY,11.431,12.302000000000001,2.4539999999999997,11.368,12.263,2.777
FRKH,12.545,12.977,2.691,12.295,13.024,2.993
FXZS,13.222999999999999,13.705,2.908,13.122,13.69,3.138
FYEF,13.451,14.497,4.321,13.292,14.790999999999999,4.292
FZRV,12.159,12.495000000000001,3.144,11.933,12.506,3.1189999999999998
GDWH,13.783999999999999,14.200999999999999,3.4659999999999997,13.565000000000001,14.110999999999999,3.522
GLXO,13.617999999999999,14.085,3.607,13.246999999999998,14.032,3.568
GMLX,11.903,12.306000000000001,2.708,11.717999999999998,12.457,2.8659999999999997
GRAC,12.061,13.012,2.8319999999999994,11.99,12.774,2.8249999999999997
GRRD,13.710999999999999,14.077,2.8289999999999997,13.46,14.029,2.8529999999999998
GVKA,10.181,10.935,2.141,10.15,11.116999999999999,2.206
GWYL,11.020999999999999,11.533,2.274,10.807,11.814,2.463
GXQD,12.818,13.705,2.9149999999999996,12.675,13.091,2.944
GYFU,12.457,12.805000000000001,2.789,12.107999999999999,12.607999999999999,3.0759999999999996
HDAF,14.276,14.241999999999999,3.389,14.18,14.325000000000001,3.174
HDAI,13.328,13.508,3.0989999999999998,13.151,13.68,3.509
HDZC,14.262,14.34,3.141,14.115,14.246999999999998,3.7630000000000003
HEDP,11.745,12.217999999999998,2.3579999999999997,11.739999999999998,12.054,2.3859999999999997
HIHW,11.684,11.796,2.285,11.552000000000001,11.847999999999999,2.184
HNNH,12.886000000000001,13.395000000000001,3.168,12.656,13.382000000000001,3.3569999999999998
HKWK,10.227999999999998,11.275,2.2230000000000003,10.002,11.302000000000001,2.109
HNUV,10.552000000000001,11.368,2.36,NA,NA,NA
HOHH,13.123,13.532,3.7,12.9,13.545,3.0389999999999997
HRBI,11.132,12.007,2.4459999999999997,10.587,11.709999999999999,2.529
HTCT,12.309000000000001,12.407,2.749,12.022,12.434,2.708
HZFK,10.963000000000001,11.902000000000001,2.3019999999999996,10.696,11.847999999999999,2.3129999999999997
IEAL,12.415000000000001,13.732,3.777,12.290999999999999,12.862000000000002,3.2680000000000002
IEJY,12.361,12.468,2.9189999999999996,12.04,12.429,2.8139999999999996
IEPT,14.492,14.651,3.5549999999999997,14.477,14.735999999999999,3.9379999999999997
IJNE,11.953000000000001,12.934,2.642,11.966000000000001,13.081,3.209
ILNB,14.879000000000001,15.042,4.159999999999999,14.773,15.381,4.337
INPV,12.94,13.424,3.5389999999999997,12.804,13.627999999999998,3.8759999999999994
IULK,13.364,13.959000000000001,3.477,13.54,14.255,3.7470000000000003
IVIQ,11.630999999999998,12.684,3.3919999999999995,11.571,12.206999999999999,3.217
IVMB,12.536,12.936,2.7680000000000002,12.493,12.875000000000002,3.224
JDGM,12.79,13.248999999999999,2.644,12.665000000000001,13.199,2.7070000000000003
JDYH,12.222999999999999,12.812000000000001,2.9419999999999997,11.591,12.874,2.8579999999999997
JHFO,12.877,13.035,3.3559999999999994,12.301,12.887,3.275
JONV,13.697,14.042,3.4099999999999997,13.693999999999999,14.763,3.509
JOZD,11.297999999999998,12.107,3.2470000000000003,11.307,11.912,3.01
JPJS,11.029,11.382000000000001,2.529,10.927999999999999,12.223999999999998,2.724
JRYP,11.133,11.886000000000001,2.792,11.092,11.963000000000001,2.4759999999999995
JPJT,12.413,13.287999999999998,2.7830000000000004,12.277999999999999,13.347,3.245
JUCL,12.419,12.46,3.182,12.536,12.819,3.154
JUGA,11.871,12.739999999999998,2.9159999999999995,11.937,13.011,3.2230000000000003
JUJH,13.222999999999999,13.626999999999999,3.219,12.487,14.209,3.937
JUYN,11.498,11.695,2.5159999999999996,10.983,11.56,2.023
JXVQ,13.12,13.995000000000001,3.1870000000000003,12.955000000000002,14.092,3.063
JZEI,11.398,11.951,2.428,11.672,12.113,2.51
JZJE,11.876000000000001,12.393,2.8459999999999996,11.977,12.457,3.1670000000000003
KAIL,11.927999999999999,12.415000000000001,2.2630000000000003,12.007,12.651,2.658
KAOK,12.535,12.851,3.0919999999999996,12.445,12.981,3.3
KDQD,13.195,13.494,3.537,12.958,13.592,3.4739999999999998
KECL,12.458,13.130999999999998,2.945,12.553,13.59,3.3139999999999996
KEHR,11.979000000000001,13.312000000000001,3.272,11.56,13.132,3.484
KEMO,13.556000000000001,13.385000000000002,2.785,13.242999999999999,13.54,2.947
KIIU,13.76,13.927999999999999,3.449,13.795,14.207999999999998,3.272
KORY,9.458,10.97,2.4309999999999996,9.396,10.78,2.3159999999999994
KPNC,11.049,11.808,2.444,11.063,11.968,2.61
KSLC,12.719999999999999,13.323,3.388,12.466000000000001,13.467,3.566
KTFS,12.657,13.465000000000002,3.008,12.730999999999998,13.122,3.129
KTNC,12.129,12.468,2.965,11.952000000000002,12.482000000000001,3.064
KVWU,12.596,13.133,3.06,12.467,13.139,3.5509999999999997
KWNJ,12.102,12.591,2.9819999999999998,12.153,13.33,3.182
KYRB,12.974,13.092,2.776,12.526,13.017,2.685
LAZJ,12.264,12.606,2.797,12.394,12.483,2.566
LEZS,12.520999999999999,12.812000000000001,2.5519999999999996,12.461,12.931,2.58
LGMD,13.190999999999999,13.427,3.265,13.12,13.502,3.3749999999999996
LHWT,14.450000000000001,15.176,3.92,14.445,14.652000000000001,3.578
LIHW,12.076,12.406,2.823,11.639,12.497,2.746
LJJN,13.998,14.415000000000001,3.3559999999999994,13.857000000000001,14.616,3.728
LKHO,11.716999999999999,12.664,2.4559999999999995,11.596,12.726999999999999,2.8009999999999997
LLJC,13.613,14.69,4.159999999999999,13.325000000000001,14.765,3.8189999999999995
LMMX,11.943999999999999,12.69,2.792,11.847999999999999,12.855000000000002,2.8119999999999994
LNMX,12.347999999999999,12.595,2.52,12.242999999999999,12.275,1.661
LQLO,13.074,13.517999999999999,2.96,12.850000000000001,13.639999999999999,3.0719999999999996
LRRL,14.013,14.923,3.166,13.864,14.210999999999999,3.1759999999999997
LRSS,13.436,13.62,3.1319999999999997,13.051,13.748999999999999,3.4909999999999997
LTEN,11.605,12.664,3.013,11.950000000000001,12.821,2.9099999999999997
LUXM,12.76,13.600999999999999,3.15,12.453000000000001,13.556000000000001,2.691
LYTH,11.974,13.220999999999998,2.8119999999999994,11.999,13.303,3.153
MAKB,13.429,13.849,3.3559999999999994,13.337,14.136,3.5189999999999997
MEAE,11.581,12.312000000000001,2.8619999999999997,11.283,12.449,3.0159999999999996
MEMQ,10.792,11.398,2.157,10.222999999999999,11.286,2.348
MJSX,10.613999999999999,11.492,2.799,10.222,11.307,2.581
MKMF,12.943999999999999,13.690999999999999,2.3489999999999998,12.632,13.503,3.01
MLES,12.375000000000002,12.817,2.685,12.447999999999999,12.965000000000002,2.9859999999999998
MONY,12.676,13.027999999999999,2.8179999999999996,NA,NA,NA
MQFA,13.457,13.812000000000001,3.7270000000000003,13.287999999999998,13.797999999999998,4.2090000000000005
MTZI,11.647999999999998,12.213,2.562,12.15,12.619,2.9719999999999995
MUVY,13.697999999999999,14.085,3.086,13.337,14.045,3.1670000000000003
MVOV,9.855000000000002,10.642999999999999,2.083,9.862000000000002,10.675,2.1189999999999998
MXAY,12.437999999999999,13.164,3.547,12.318,13.383000000000001,3.688
MYTW,13.262,13.595,3.58,13.158,14.019,3.8259999999999996
NACP,12.217999999999998,12.558,2.658,12.182,12.700999999999999,2.8119999999999994
NAPZ,11.555000000000001,12.69,2.655,11.675,12.649,2.8129999999999997
NBFT,13.542,14.187,2.9899999999999998,13.455000000000002,14.171,3.256
NDWV,12.533999999999999,12.962000000000002,2.748,12.679,13.09,2.8169999999999997
NFQJ,12.757,13.112,2.5789999999999997,11.817,13.079,3.026
NFZB,12.322000000000001,12.895000000000001,3.193,12.479000000000001,13.151,3.4919999999999995
NLMH,12.579,12.700999999999999,3.445,12.424,13.051,3.177
NMCP,13.3,13.761,3.1119999999999997,13.222999999999999,13.921,3.074
NRDG,11.583,12.127999999999998,2.587,11.710999999999999,12.251,2.689
